file,parent,ok,err,inst_rel_error,mem_ratio_gap,phi_after_norm,alloca_after_norm,call_count
AES128_modular_function1.ll,1,False,-10,,,,,
AES128_modular_function2.ll,1,False,-10,,,,,
AES128_modular_function3.ll,1,False,-10,,,,,
AES128_modular_function4.ll,1,False,-10,,,,,
AES128_modular_function5.ll,1,False,-10,,,,,
AES128_modular_function6.ll,1,False,-10,,,,,
AES128_modular_function7.ll,1,False,-10,,,,,
AES128_modular_function8.ll,1,False,-10,,,,,
AES128_modular_function9.ll,1,False,-10,,,,,
AES128_modular_main.ll,1,False,-10,,,,,
AES128_single_function.ll,1,False,-10,,,,,
AES128_single_main.ll,1,False,-10,,,,,
BFS_function.ll,1,False,-10,,,,,
BFS_main.ll,1,False,-10,,,,,
DES_modular_function1.ll,1,False,-10,,,,,
DES_modular_function2.ll,1,False,-10,,,,,
DES_modular_function3.ll,1,False,-10,,,,,
DES_modular_function4.ll,1,False,-10,,,,,
DES_modular_function5.ll,1,False,-10,,,,,
DES_modular_function6.ll,1,False,-10,,,,,
DES_modular_main.ll,1,False,-10,,,,,
DES_single__main.ll,1,False,-10,,,,,
DES_single_function.ll,1,False,-10,,,,,
DFS_function.ll,1,False,-10,,,,,
DFS_main.ll,1,False,-10,,,,,
binarysearch_function.ll,1,False,-10,,,,,
binarysearch_main.ll,1,False,-10,,,,,
bubblesort_function.ll,1,False,-10,,,,,
bubblesort_main.ll,1,False,-10,,,,,
heapsort_function.ll,1,False,-10,,,,,
heapsort_main.ll,1,False,-10,,,,,
insertionsort_function.ll,1,False,-10,,,,,
insertionsort_main.ll,1,False,-10,,,,,
linearsearch_function.ll,1,False,-10,,,,,
linearsearch_main.ll,1,False,-10,,,,,
mergesort_function.ll,1,False,-10,,,,,
mergesort_main.ll,1,False,-10,,,,,
quicksort_function.ll,1,False,-10,,,,,
quicksort_main.ll,1,False,-10,,,,,
selectionsort_function.ll,1,False,-10,,,,,
selectionsort_main.ll,1,False,-10,,,,,
