file,parent,ok,err,inst_rel_error,mem_ratio_gap,phi_after_norm,alloca_after_norm,call_count
BFS.ll,1,True,0,,,,,
DFS.ll,1,True,0,,,,,
binarysearch.ll,1,True,0,,,,,
bubblesort.ll,1,True,0,,,,,
heapsort.ll,1,True,0,,,,,
insertionsort.ll,1,True,0,,,,,
linearsearch.ll,1,True,0,,,,,
mergesort.ll,1,True,0,,,,,
quicksort.ll,1,True,0,,,,,
selectionsort.ll,1,False,-10,,,,,
AES128_modular_function11.ll,success,False,-10,,,,,
AES128_modular_function21.ll,success,False,-10,,,,,
AES128_modular_function31.ll,success,False,-10,,,,,
AES128_modular_function41.ll,success,False,-10,,,,,
AES128_modular_function51.ll,success,False,-10,,,,,
AES128_modular_function61.ll,success,False,-10,,,,,
AES128_modular_function71.ll,success,False,-10,,,,,
AES128_modular_function82.ll,success,False,-10,,,,,
AES128_modular_function91.ll,success,False,-10,,,,,
AES128_modular_main2.ll,success,False,-10,,,,,
AES128_single_function4.ll,success,False,-10,,,,,
AES128_single_main3.ll,success,False,-10,,,,,
BFS_function1.ll,success,False,-10,,,,,
BFS_main3.ll,success,False,-10,,,,,
DES_modular_function11.ll,success,False,-10,,,,,
DES_modular_function21.ll,success,False,-10,,,,,
DES_modular_function32.ll,success,False,-10,,,,,
DES_modular_function41.ll,success,False,-10,,,,,
DES_modular_function51.ll,success,False,-10,,,,,
DES_modular_function61.ll,success,False,-10,,,,,
DES_modular_main2.ll,success,False,-10,,,,,
DES_single__main3.ll,success,False,-10,,,,,
DES_single_function3.ll,success,False,-10,,,,,
DFS_function1.ll,success,False,-10,,,,,
DFS_main1.ll,success,False,-10,,,,,
binarysearch_function1.ll,success,False,-10,,,,,
binarysearch_main1.ll,success,False,-10,,,,,
bubblesort_function1.ll,success,False,-10,,,,,
bubblesort_main1.ll,success,False,-10,,,,,
heapsort_function1.ll,success,False,-10,,,,,
heapsort_main1.ll,success,False,-10,,,,,
insertionsort_function2.ll,success,False,-10,,,,,
insertionsort_main1.ll,success,False,-10,,,,,
linearsearch_function1.ll,success,False,-10,,,,,
linearsearch_main1.ll,success,False,-10,,,,,
mergesort_function2.ll,success,False,-10,,,,,
mergesort_main1.ll,success,False,-10,,,,,
quicksort_function2.ll,success,False,-10,,,,,
quicksort_main1.ll,success,False,-10,,,,,
selectionsort_function1.ll,success,False,-10,,,,,
selectionsort_main1.ll,success,False,-10,,,,,
